stock_code,num_sheets,sheet_names,is_same_sheets,corp_code,corp_name,modify_date,sector,product,corp_cls,market_type
001380,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,152039,SG글로벌,20221128,자동차 신품 부품 제조업,자동차시트 및 자동차시트커버(Seat Trim Cover),Y,KOSPI
450520,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1222113,인스웨이브시스템즈,20240701,소프트웨어 개발 및 공급업,"UI/UX 개발 솔루션, 엔터프라이즈 DX 솔루션, 금융 단말 솔루션 등",K,KOSDAQ
060380,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,178851,동양에스텍,20221202,1차 철강 제조업,"열연박판, 열연후판, 무늬강판",K,KOSDAQ
000230,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,146083,일동홀딩스,20240701,의약품 제조업,"의약품 제조,도매",Y,KOSPI
278470,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1190568,에이피알,20240924,기타 화학제품 제조업,"화장품, 피부미용기기 등",Y,KOSPI
069460,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,428729,대호에이엘,20240329,1차 비철금속 제조업,"알루미늄 환절판 제조,도매,무역",Y,KOSPI
430690,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1602638,한싹,20231004,소프트웨어 개발 및 공급업,망간자료전송,K,KOSDAQ
094280,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,414850,효성 ITX,20240719,기타 사업지원 서비스업,"컨택센터서비스, Cloud솔루션, CDN, 프로젝터판매",Y,KOSPI
012160,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,141477,영흥,20230403,1차 철강 제조업,와이어로프 등,Y,KOSPI
000590,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,149026,CS홀딩스,20221208,기타 금융업,"브랜드 수익, 자회사 배당",Y,KOSPI
005390,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,136341,신성통상,20220614,기타 전문 도매업,"의류,악세사리(모자,벨트,가방) 도매/의류 제조",Y,KOSPI
068790,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,361594,DMS,20230331,특수 목적용 기계 제조업,LCD 제조장비,K,KOSDAQ
452260,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1722437,한화갤러리아,20240514,종합 소매업,백화점,Y,KOSPI
032830,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,126256,삼성생명,20240322,보험업,"생명보험,부동산 임대",Y,KOSPI
149950,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,442048,아바텍,20220225,전자부품 제조업,"Glass Slimming & ITO코팅 제품, PDP필터",K,KOSDAQ
317530,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1267222,캐리소프트,20220228,"영화, 비디오물, 방송프로그램 제작 및 배급업","영상 콘텐츠(30.05%), 공연(29.76%), 키즈카페(17.38%), 커머스(12.77%), 라이선스 및 기타(10.04%)",K,KOSDAQ
091340,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,580667,S&K폴리텍,20221130,전자부품 제조업,고밀도폴리우레탄폼시트,K,KOSDAQ
004770,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,138057,써니전자,20240222,전자부품 제조업,"수정진동자,수정발진기,초음파지연선,MCF,축수나사 제조,도매,수출입",Y,KOSPI
161000,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,936787,애경케미칼,20240517,기초 화학물질 제조업,무수프탈산 등,Y,KOSPI
079370,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,442570,제우스,20221130,특수 목적용 기계 제조업,LCD제조용장비,K,KOSDAQ
067900,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,190756,와이엔텍,20240920,폐기물 처리업,"사업장폐기물중간및최종처리,전문건설,골재제조",K,KOSDAQ
150840,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,661157,인트로메딕,20240912,의료용 기기 제조업,"캡슐내시경, 일회용 연성내시경",K,KOSDAQ
169330,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,877174,엠브레인,20240614,시장조사 및 여론조사업,온라인 및 오프라인 리서치,K,KOSDAQ
064820,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,152437,케이프,20230502,선박 및 보트 건조업,선박엔진용실린더라이너,K,KOSDAQ
289080,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,599151,SV인베스트먼트,20220520,기타 금융업,중소/벤처기업 투자 및 육성,K,KOSDAQ
032860,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,205687,더라미,20230915,"해체, 선별 및 원료 재생업",철스크랩,K,KOSDAQ
003920,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,107598,남양유업,20240701,동·식물성 유지 및 낙농제품 제조업,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매",Y,KOSPI
067830,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,422895,세이브존I&C,20240327,종합 소매업,"대형할인점(백화점)/부동산 임대/주차장,문화센터 운영",Y,KOSPI
001820,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,129350,삼화콘덴서공업,20211117,전자부품 제조업,콘덴서(축전기) 제조,Y,KOSPI
083930,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,442145,아바코,20220225,특수 목적용 기계 제조업,평판디스플레이제조용장비,K,KOSDAQ
095500,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,526836,미래나노텍,20230222,플라스틱제품 제조업,LCDBLU용광학필름,K,KOSDAQ
151860,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,366137,KG에코솔루션,20240509,기타 화학제품 제조업,"집단에너지(스팀),  산화동, 폐기물 소각",K,KOSDAQ
321820,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1116502,아티스트유나이티드,20240425,소프트웨어 개발 및 공급업,빅데이터/인공지능 마케팅플랫폼 및 데이터플랫폼,K,KOSDAQ
160980,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,659161,싸이맥스,20240903,특수 목적용 기계 제조업,"웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)",K,KOSDAQ
000890,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,123541,보해양조,20230109,알코올음료 제조업,"주류(소주,매취,실비우스,위스키) 제조,음료 도매",Y,KOSPI
195870,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1032413,해성디에스,20230216,전자부품 제조업,반도체 패키지용 Substrate,Y,KOSPI
091590,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,108001,남화토건,20231120,건물 건설업,"건축공사, 토목공사",K,KOSDAQ
308100,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1181807,까스텔바작,20230331,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화,K,KOSDAQ
377450,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1210066,리파인,20230223,기타 정보 서비스업,권리조사,K,KOSDAQ
389030,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1494154,지니너스,20230918,자연과학 및 공학 연구개발업,"NGS기반 조직생검 암유전체 동반진단(CancerSCAN), 액체생검 암유전체 동반진단(LiquidSCAN), 단일세포분석(Celinus) 등",K,KOSDAQ
036570,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,261443,엔씨소프트,20240329,소프트웨어 개발 및 공급업,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",Y,KOSPI
